x	y	resid
158782.53	431483.47	-36.3401
157010.48	426179.81	39.9566
158187.11	428360.06	-0.9136
166985.30	432262.84	-8.5737
160035.89	430014.41	19.254
167322.81	429455.47	76.8427
174340.44	432959.56	29.5835
175956.14	433256.91	19.4111
183138.47	418845.84	18.2712
167103.09	432391.72	-4.1511
168606.30	431891.63	15.9801
169196.08	429749.31	14.7285
168529.88	428348.72	-12.7479
177709.19	430224.28	-66.2341
175888.56	426381.91	-4.6432
175130.73	425574.56	23.5361
172731.41	432577.91	-31.1743
173316.25	425953.69	13.8992
172794.56	431486.75	5.0734
179175.25	419626.66	-24.5994
183598.14	420708.94	-12.8578
184731.03	420134.06	-28.6186
180839.53	422379.56	-6.3644
176517.69	424736.72	-54.1279
174899.05	432508.91	18.3647
178867.64	428756.81	-4.9791
176930.72	428160.09	-11.4845
184947.41	421330.53	-4.465
184405.66	421303.47	25.4297
185324.64	422508.91	-22.5522
182589.86	420654.28	31.9983
184345.05	421769.56	509.485
165077.30	432650.31	-124.2982
182261.95	427732.16	-100.2142
158985.72	432301.31	-109.7343
169690.77	426799.41	13.4168
177401.16	432116.56	48.1227
177514.98	426540.72	-187.2571
178634.88	426513.00	16.7816
172692.52	432917.94	13.1509
176031.92	425661.84	-34.9843
178151.44	427528.97	-11.8278
177089.81	432422.13	-14.8604
173792.81	428400.66	33.3918
183565.31	429874.56	16.3752
182040.25	422016.72	-58.5503
166356.33	427163.63	71
166656.41	432075.41	-18.989
165247.33	431158.69	4.9882
158243.59	425691.78	-9.4204
169029.28	433050.03	-140.8266
178385.95	431875.44	7.0716
174965.86	425824.59	-0.6526
185194.41	420272.75	42.078
154679.48	425443.88	83.9565
165219.25	432490.88	-37.0912
160151.00	425356.00	-132.952
160358.58	430149.91	34.2305
165273.39	430241.88	12.1555
166251.86	429658.84	-2.1518
167700.14	433557.91	17.1208
175185.52	430544.34	23.2634
177578.23	429544.53	-1.5814
172736.92	430951.63	5.2832
170616.97	429561.44	16.4295
171653.42	428733.41	-5.065
182684.38	426908.59	-128.1672
183251.47	425802.25	-49.9155
182944.52	429784.75	-1.1277
181769.23	427759.34	-180.4639
158495.63	427769.16	15.9792
184840.38	421134.00	23.6736
182934.66	420950.88	-10.6083
185290.28	421030.47	3.2704
182050.56	423065.09	-3.896
187173.94	418915.84	-18.031
158506.81	429461.31	4.7914
167853.16	433324.78	16.3164
161920.34	431628.56	-7.1923
179732.20	426808.88	-29.2889
179415.45	431973.41	16.7687
177013.42	424875.72	-259.2638
176372.98	423679.16	-42.8618
171504.14	429482.72	-25.2695
180359.67	425622.06	-142.9664
181199.13	420277.53	-11.9705
180040.42	423271.00	21.2041
183077.58	423060.31	33.717
176026.41	427323.56	-30.168
173516.95	428368.28	15.431
182666.73	431508.03	4.5417
181570.09	431380.25	-49.1881
158258.63	431755.63	-55.9797
